index,marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
4303,AUDI,Q3,27240,8U [restyling],4x4_SUV,2016,13/04/2020,DIESEL,75355,AUTOMATIQUE,17000,10,180,<150000km
4304,AUDI,Q5,28890,8R [restyling],4x4_SUV,2015,20/04/2020,DIESEL,92077,MANUEL,63000,10,177,<150000km
4305,AUDI,A6,22980,4Gslashcharacter001C7 [restyling],Break,2016,29/03/2020,DIESEL,124844,MANUEL,64000,8,150,<150000km
4306,AUDI,A1,32740,8X [restyling],Hatchback,2020,16/05/2020,ESSENCE,5999,AUTOMATIQUE,34000,7,150,<50000km
4307,AUDI,A3,21330,8V [restyling],Hatchback,2017,13/04/2020,DIESEL,129114,AUTOMATIQUE,12000,8,150,<150000km
4308,AUDI,E-TRON,79480,1 génération,4x4_SUV,2021,13/05/2020,ELECTRIQUE,2650,AUTOMATIQUE,16000,12,360,<5000km
4309,AUDI,A4,27820,B9,Break,2017,13/04/2020,DIESEL,69282,MANUEL,12000,8,150,<150000km
4310,AUDI,Q5,46160,8R [restyling],4x4_SUV,2016,29/03/2020,DIESEL,136374,AUTOMATIQUE,79000,20,272,<150000km
4311,AUDI,Q2,31250,1 génération,4x4_SUV,2019,29/03/2020,DIESEL,21200,AUTOMATIQUE,73000,6,116,<50000km
4312,AUDI,A3,26980,8V [restyling],Cabriolet,2020,13/04/2020,ESSENCE,6818,MANUEL,59000,6,115,<50000km
4313,AUDI,A5,48900,2 génération,Cabriolet,2018,29/03/2020,DIESEL,38760,AUTOMATIQUE,11000,10,190,<50000km
4314,AUDI,A4,13540,B8slashcharacter0018K [restyling],Berline,2012,29/03/2020,DIESEL,136956,AUTOMATIQUE,6000,8,143,<150000km
4315,AUDI,Q3,45800,F3,4x4_SUV,2020,29/03/2020,ESSENCE,20319,AUTOMATIQUE,49000,8,150,<50000km
4316,AUDI,Q3,51460,8U [restyling],4x4_SUV,2020,13/04/2020,DIESEL,3510,MANUEL,19000,8,150,<5000km
4317,AUDI,A4,15940,B8slashcharacter0018K [restyling],Berline,2012,19/05/2020,DIESEL,121616,AUTOMATIQUE,76000,8,143,<150000km
4318,AUDI,A5,38500,8T,Berline,2020,29/03/2020,ESSENCE,19127,AUTOMATIQUE,33000,8,143,<50000km
4319,AUDI,Q5,56180,2 génération,4x4_SUV,2018,12/05/2020,ESSENCE,38469,AUTOMATIQUE,69000,15,252,<50000km
4320,AUDI,Q3,23790,8U [restyling],4x4_SUV,2017,29/03/2020,ESSENCE,60575,MANUEL,44000,8,150,<150000km
4321,AUDI,A3,30360,8V [restyling],Hatchback,2019,05/05/2020,ESSENCE,10618,AUTOMATIQUE,35000,8,150,<50000km
4322,AUDI,Q2,39880,1 génération,4x4_SUV,2020,29/03/2020,ESSENCE,17026,AUTOMATIQUE,93000,8,150,<50000km
4323,AUDI,A3,40900,8V [restyling],Hatchback,2020,29/03/2020,DIESEL,6200,AUTOMATIQUE,59000,8,150,<50000km
4324,AUDI,A3,29360,8V [restyling],Hatchback,2018,13/04/2020,ESSENCE,62281,AUTOMATIQUE,14000,10,190,<150000km
4325,AUDI,A1,20400,8X [restyling],Hatchback,2019,29/03/2020,DIESEL,65345,MANUEL,64000,6,116,<150000km
4326,AUDI,A6,52700,4Gslashcharacter001C7 [restyling],Break,2019,22/05/2020,DIESEL,24361,AUTOMATIQUE,10000,13,218,<50000km
4327,AUDI,R8,82570,1 génération,Coupé,2010,20/05/2020,ESSENCE,47486,AUTOMATIQUE,91000,45,525,<50000km
4328,AUDI,Q2,28870,1 génération,4x4_SUV,2018,13/04/2020,DIESEL,110125,AUTOMATIQUE,17000,8,150,<150000km
